Dates,Company Name,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NET_INCOME,ALTMAN_Z_SCORE,TOBIN_Q_RATIO,RETURN_ON_ASSET,RETURN_COM_EQY,SALES_REV_TURN,BS_TOT_ASSET,BS_CUR_ASSET_REPORT,BS_TOT_NON_CUR_ASSET,BS_TOTAL_LIABILITIES,BS_CUR_LIAB,NON_CUR_LIAB,BS_PURE_RETAINED_EARNINGS,BS_RETAIN_EARN,IS_TOTAL_EXPENSES,BS_SH_OUT,BS_GOODWILL,CF_DVD_PAID,IS_RD_EXPEND,NET_OPER_PROFIT_AFTER_TAX,NET_OPER_PROFIT_AFTER_TAX.1,NET_INCOME.1,EBIT,EBK_EMPL_TURNOVER_RATE,NUMBER_EMPLOYEES_CSR,WACC_COST_EQUITY,WACC,WACC_COST_DEBT,WACC.1,FNCL_LVRG,BOOK_VAL_PER_SH,IS_EPS,PX_TO_BOOK_RATIO,NET_WORTH_GROWTH,TOT_DEBT_TO_COM_EQY
2009-03-31,TPWR,26.9497,2.0352,12.734,65.9374,12187.4,1.6259,1.2638,5.267,15.5384,175807.7,318464.2,74465.5,243998.7,222831.4,77132.3,145699.1,31509.8,62370.6,,2294.5158,48316.0,-3332.7,0.0,16017.4569,16017.4569,12187.4,29863.8,,,13.777,10.2025,5.9014,10.2025,2.8444,37.5631,5.5093,1.9746,12.6515,164.0975
2010-03-31,TPWR,26.4058,1.933,7.8597,69.2655,19668.4,1.7483,1.5312,5.4824,19.7382,189788.7,399050.5,96901.2,302149.3,272949.1,79056.4,193892.7,41972.8,74693.6,,2459.1016,42744.1,-3702.5,5.269,23440.2236,23440.2236,19668.4,29532.7,,3809.0,11.1864,10.6647,9.7429,10.6647,3.5841,46.3601,8.2036,2.8593,32.2723,161.8092
2011-03-31,TPWR,31.7473,8.6379,17.2007,69.2655,20596.0,1.2976,1.3691,4.5643,17.0431,194422.8,503437.4,72344.8,431092.6,358258.9,101826.3,256432.6,53918.3,91737.2,,2459.1016,42280.8,-4164.7,0.019,25651.6613,25651.6613,20596.0,36040.5,,3465.0,12.2306,10.7662,8.8909,10.7662,3.683,53.2861,8.4825,2.418,14.9394,188.8196
2012-03-31,TPWR,29.1319,2.4162,13.0593,71.764,-10876.8,1.0444,1.1741,-1.9431,-8.9793,259972.3,616120.9,114700.9,501420.0,467507.6,132014.8,335492.8,32683.5,93179.2,,2459.1016,48444.0,-4690.2,1.6,-75052.0723,-75052.0723,-10876.8,39864.6,,4621.0,10.9286,7.7448,5.4922,7.7448,4.2514,53.8004,-4.8058,1.8107,0.9652,255.931
2013-03-31,TPWR,42.028,27.2425,26.9649,71.764,-854.3,1.0138,1.1495,-0.1326,-2.2403,330198.5,672814.1,121501.2,551312.9,523741.0,166425.7,357315.3,23591.1,89492.0,,2459.1016,57241.4,-5715.2,0.2,4267.7986,4267.7986,-854.3,45750.7,,4232.0,10.1457,7.0216,5.1331,7.0216,4.9436,52.2252,-1.187,1.7831,-2.9278,294.9712
2014-03-31,TPWR,50.4577,35.8502,37.3942,78.0253,-2599.7,0.9275,1.1034,-0.3749,-2.9755,358677.4,713982.6,133608.8,580373.8,563011.4,217267.2,345744.2,13567.4,89322.0,,2373.0724,63320.4,-5405.6,320.4,-1244.6362,-1244.6362,-2599.7,49714.7,,4328.0,11.6854,7.7793,5.8145,7.7793,5.4031,54.0388,-1.5504,1.5757,-0.1472,313.2652
2015-03-31,TPWR,51.2725,35.8502,32.9807,84.8585,1678.3,0.8277,1.0823,0.229,0.327,337199.2,751911.9,148989.6,602922.3,580333.2,210895.9,369437.3,12948.3,88095.1,,2704.6253,66257.6,-6831.0,452.6,11840.2893,11840.2893,1678.3,41194.0,,4234.0,12.7207,7.7328,5.1715,7.7328,5.3326,54.223,0.167,1.4219,14.3598,276.89
2016-03-31,TPWR,47.0878,35.8502,32.9807,72.3359,6622.0,0.7417,1.0621,0.9118,3.9598,295008.9,700597.1,171184.9,529412.2,551765.2,267709.4,284055.8,719.0,72159.5,,2704.6294,55.4,-5936.3,1018.4,31673.8665,31673.8665,6622.0,61610.1,,4068.0,13.141,8.0068,5.696,8.0068,5.2251,48.5589,2.03,1.3314,-10.4458,295.8004
2017-03-31,TPWR,55.3264,41.498,43.289,81.0957,8965.5,0.4257,1.1173,1.1721,6.4389,275875.9,829207.9,127078.0,702129.9,663372.5,348412.2,314960.3,13574.4,87962.5,,2704.7735,16535.7,-6497.3,1018.4,31101.1857,31101.1857,8965.5,40474.6,,3762.0,11.8974,9.5115,8.2979,9.5115,5.4934,54.4022,3.3112,1.6608,12.0393,326.5135
2018-03-31,TPWR,58.0324,48.5956,44.3168,81.0957,24083.0,0.5047,1.0606,2.9204,14.7615,268402.7,820099.7,206750.5,613349.2,635948.0,379084.0,256864.0,31334.7,104815.8,,2704.7735,16415.7,-6776.5,1135.0,38235.1236,38235.1236,24083.0,40408.6,,3519.0,12.0129,11.4225,11.1629,11.4225,5.3008,60.6331,8.4816,1.3029,11.4535,296.278
